Blocktype	tnum	rt	color	winprob	Amb	choice	dist	side	response
Ambiguity	0	2731	red	0.5	[0.25,0.75]	risk	narrow	left	f
Ambiguity	1	2264	red	0.38	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	2	1554	red	0.43	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	3	4207	red	0.53	[0.25,0.75]	risk	narrow	right	j
Ambiguity	4	1998	red	0.48	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	5	3910	red	0.51	[0.25,0.75]	risk	narrow	left	f
Ambiguity	6	1298	red	0.49	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	7	1492	red	0.51	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	8	2024	red	0.52	[0.25,0.75]	risk	narrow	left	f
Ambiguity	9	3471	red	0.5	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	10	1967	red	0.48	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	11	1456	red	0.48	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	12	1189	red	0.46	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	13	1554	red	0.44	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	14	1192	red	0.46	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	15	2971	red	0.5	[0,1]	risk	narrow	left	f
Ambiguity	16	867	red	0.39	[0,1]	Ambiguous	narrow	left	j
Ambiguity	17	967	red	0.44	[0,1]	Ambiguous	narrow	left	j
Ambiguity	18	1829	red	0.48	[0,1]	Ambiguous	narrow	left	j
Ambiguity	19	1901	red	0.59	[0,1]	risk	narrow	right	j
Ambiguity	20	2019	red	0.52	[0,1]	risk	narrow	right	j
Ambiguity	21	1511	red	0.45	[0,1]	Ambiguous	narrow	left	j
Ambiguity	22	2863	red	0.5	[0,1]	risk	narrow	right	j
Ambiguity	23	1536	red	0.47	[0,1]	Ambiguous	narrow	right	f
Ambiguity	24	2422	red	0.49	[0,1]	risk	narrow	right	j
Ambiguity	25	1905	red	0.49	[0,1]	risk	narrow	left	f
Ambiguity	26	1341	red	0.46	[0,1]	risk	narrow	right	j
Ambiguity	27	1848	red	0.46	[0,1]	risk	narrow	right	j
Ambiguity	28	1277	red	0.45	[0,1]	Ambiguous	narrow	right	f
Ambiguity	29	1344	red	0.45	[0,1]	Ambiguous	narrow	right	f
Ambiguity	30	NA	blue	0.5	[0.25,0.75]	Ambiguous	skew	right	
Ambiguity	31	1377	blue	0.58	[0.25,0.75]	risk	skew	left	f
Ambiguity	32	1353	blue	0.51	[0.25,0.75]	risk	skew	right	j
Ambiguity	33	1004	blue	0.42	[0.25,0.75]	risk	skew	right	j
Ambiguity	34	1475	blue	0.29	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	35	1605	blue	0.35	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	36	1254	blue	0.45	[0.25,0.75]	risk	skew	right	j
Ambiguity	37	1335	blue	0.41	[0.25,0.75]	risk	skew	right	j
Ambiguity	38	892	blue	0.33	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	39	1217	blue	0.38	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	40	1161	blue	0.43	[0.25,0.75]	risk	skew	left	f
Ambiguity	41	1755	blue	0.39	[0.25,0.75]	risk	skew	left	f
Ambiguity	42	841	blue	0.34	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	43	1628	blue	0.35	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	44	3233	blue	0.35	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	45	1150	blue	0.5	[0,1]	risk	skew	left	f
Ambiguity	46	2009	blue	0.41	[0,1]	Ambiguous	skew	left	j
Ambiguity	47	1269	blue	0.44	[0,1]	Ambiguous	skew	right	f
Ambiguity	48	1316	blue	0.54	[0,1]	risk	skew	right	j
Ambiguity	49	1068	blue	0.5	[0,1]	risk	skew	left	f
Ambiguity	50	1388	blue	0.45	[0,1]	Ambiguous	skew	left	j
Ambiguity	51	1154	blue	0.5	[0,1]	risk	skew	left	f
Ambiguity	52	1836	blue	0.47	[0,1]	risk	skew	right	j
Ambiguity	53	918	blue	0.46	[0,1]	risk	skew	left	f
Ambiguity	54	1443	blue	0.44	[0,1]	risk	skew	right	j
Ambiguity	55	1263	blue	0.4	[0,1]	Ambiguous	skew	left	j
Ambiguity	56	1201	blue	0.39	[0,1]	Ambiguous	skew	right	f
Ambiguity	57	1301	blue	0.42	[0,1]	Ambiguous	skew	left	j
Ambiguity	58	1146	blue	0.49	[0,1]	risk	skew	left	f
Ambiguity	59	1462	blue	0.45	[0,1]	Ambiguous	skew	right	f
Ambiguity	60	2175	green	0.5	[0.25,0.75]	Ambiguous	wide	right	f
