Blocktype	tnum	rt	color	winprob	Amb	RL_feedback	choice	dist	side	response
Learning	1	4012	red	0.5	[0,1]	win	risk	norm	left	f
Learning	2	3008	red	0.39	[0,1]	win	Amb	norm	right	f
Learning	3	3133	red	0.46	[0,1]	win	Amb	norm	left	j
Learning	4	1447	red	0.54	[0,1]	win	Amb	norm	right	f
Learning	5	990	red	0.63	[0,1]	win	risk	norm	right	j
Learning	6	1774	red	0.56	[0,1]	win	risk	norm	right	j
Learning	7	1867	red	0.48	[0,1]	win	risk	norm	right	j
Learning	8	940	red	0.34	[0,1]	win	Amb	norm	left	j
Learning	9	727	red	0.38	[0,1]	win	Amb	norm	left	j
Learning	10	1821	red	0.46	[0,1]	win	Amb	norm	right	f
Learning	11	1753	red	0.58	[0,1]	win	risk	norm	right	j
Learning	12	1863	red	0.49	[0,1]	win	Amb	norm	right	f
Learning	13	1716	red	0.52	[0,1]	win	risk	norm	left	f
Learning	14	1073	red	0.49	[0,1]	win	Amb	norm	left	j
Learning	15	1199	red	0.52	[0,1]	win	Amb	norm	right	f
Learning	1	1830	green	0.5	[0,1]	lose	risk	norm	right	j
Learning	2	1389	green	0.41	[0,1]	lose	risk	norm	left	f
Learning	3	1318	green	0.25	[0,1]	lose	Amb	norm	right	f
Learning	4	1530	green	0.3	[0,1]	lose	Amb	norm	right	f
Learning	5	1799	green	0.4	[0,1]	lose	risk	norm	right	j
Learning	6	854	green	0.35	[0,1]	lose	Amb	norm	left	j
Learning	7	1147	green	0.38	[0,1]	lose	Amb	norm	right	f
Learning	8	935	green	0.39	[0,1]	lose	Amb	norm	left	j
Learning	9	1517	green	0.47	[0,1]	lose	risk	norm	right	j
Learning	10	1244	green	0.45	[0,1]	lose	risk	norm	left	f
Learning	11	1430	green	0.41	[0,1]	lose	Amb	norm	left	j
Learning	12	1797	green	0.42	[0,1]	lose	Amb	norm	left	j
Learning	13	953	green	0.44	[0,1]	lose	risk	norm	right	j
Learning	14	928	green	0.43	[0,1]	lose	risk	norm	right	j
Learning	15	1573	green	0.39	[0,1]	lose	Amb	norm	left	j
Learning	1	917	green	0.5	[0,1]	win	Amb	norm	right	f
Learning	2	1067	green	0.61	[0,1]	win	risk	norm	left	f
Learning	3	1182	green	0.54	[0,1]	win	Amb	norm	left	j
Learning	4	1093	green	0.59	[0,1]	win	Amb	norm	right	f
Learning	5	1087	green	0.62	[0,1]	win	risk	norm	right	j
Learning	6	1136	green	0.58	[0,1]	win	Amb	norm	right	f
Learning	7	1453	green	0.59	[0,1]	win	Amb	norm	right	f
Learning	8	748	green	0.62	[0,1]	win	risk	norm	left	f
Learning	9	651	green	0.6	[0,1]	win	risk	norm	left	f
Learning	10	877	green	0.59	[0,1]	win	Amb	norm	left	j
Learning	11	2162	green	0.59	[0,1]	win	risk	norm	right	j
Learning	12	1009	green	0.6	[0,1]	win	risk	norm	right	j
Learning	13	1264	green	0.59	[0,1]	win	Amb	norm	left	j
Learning	14	1164	green	0.61	[0,1]	win	risk	norm	right	j
Learning	15	749	green	0.62	[0,1]	win	risk	norm	left	f
Learning	1	960	blue	0.5	[0,1]	lose	risk	norm	right	j
Learning	2	2227	blue	0.38	[0,1]	lose	risk	norm	right	j
Learning	3	1070	blue	0.21	[0,1]	lose	Amb	norm	left	j
Learning	4	1007	blue	0.27	[0,1]	lose	Amb	norm	left	j
Learning	5	1897	blue	0.36	[0,1]	lose	Amb	norm	right	f
Learning	6	1223	blue	0.51	[0,1]	lose	risk	norm	left	f
Learning	7	1455	blue	0.41	[0,1]	lose	risk	norm	right	j
Learning	8	798	blue	0.27	[0,1]	lose	Amb	norm	left	j
Learning	9	1672	blue	0.35	[0,1]	lose	Amb	norm	right	f
Learning	10	1224	blue	0.45	[0,1]	lose	risk	norm	left	f
Learning	11	1353	blue	0.41	[0,1]	lose	risk	norm	right	j
Learning	12	1437	blue	0.34	[0,1]	lose	risk	norm	left	f
Learning	13	780	blue	0.24	[0,1]	lose	Amb	norm	left	j
Learning	14	694	blue	0.27	[0,1]	lose	Amb	norm	left	j
Learning	15	1248	blue	0.37	[0,1]	lose	Amb	norm	left	j
Learning	1	891	blue	0.5	[0,1]	win	Amb	norm	right	f
Learning	2	1076	blue	0.57	[0,1]	win	Amb	norm	left	j
Learning	3	1104	blue	0.73	[0,1]	win	risk	norm	left	f
Learning	4	1250	blue	0.66	[0,1]	win	risk	norm	right	j
Learning	5	1259	blue	0.53	[0,1]	win	Amb	norm	right	f
Learning	6	1032	blue	0.57	[0,1]	win	Amb	norm	right	f
Learning	7	1070	blue	0.62	[0,1]	win	risk	norm	right	j
Learning	8	954	blue	0.58	[0,1]	win	Amb	norm	right	f
Learning	9	848	blue	0.58	[0,1]	win	Amb	norm	right	f
Learning	10	963	blue	0.6	[0,1]	win	risk	norm	left	f
Learning	11	979	blue	0.56	[0,1]	win	Amb	norm	left	j
Learning	12	1021	blue	0.55	[0,1]	win	Amb	norm	right	f
Learning	13	1100	blue	0.55	[0,1]	win	Amb	norm	right	f
Learning	14	1133	blue	0.56	[0,1]	win	Amb	norm	left	j
Learning	15	957	blue	0.56	[0,1]	win	Amb	norm	left	j
Learning	1	913	red	0.5	[0,1]	lose	risk	norm	right	j
Learning	2	1852	red	0.38	[0,1]	lose	risk	norm	right	j
Learning	3	2119	red	0.22	[0,1]	lose	Amb	norm	left	j
Learning	4	1083	red	0.32	[0,1]	lose	Amb	norm	right	f
Learning	5	1166	red	0.43	[0,1]	lose	risk	norm	left	f
Learning	6	789	red	0.36	[0,1]	lose	Amb	norm	left	j
Learning	7	1199	red	0.41	[0,1]	lose	Amb	norm	left	j
Learning	8	1110	red	0.47	[0,1]	lose	risk	norm	left	f
Learning	9	1417	red	0.44	[0,1]	lose	risk	norm	left	f
Learning	10	1417	red	0.4	[0,1]	lose	risk	norm	left	f
Learning	11	685	red	0.33	[0,1]	lose	Amb	norm	left	j
Learning	12	1570	red	0.34	[0,1]	lose	Amb	norm	right	f
Learning	13	1742	red	0.4	[0,1]	lose	Amb	norm	left	j
Learning	14	1027	red	0.44	[0,1]	lose	risk	norm	left	f
Learning	15	1060	red	0.41	[0,1]	lose	Amb	norm	left	j
