Blocktype	tnum	rt	color	winprob	Amb	choice	dist	side	response
Ambiguity	0	1666	blue	0.5	[0.25,0.75]	risk	wide	right	j
Ambiguity	1	2371	blue	0.41	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	2	1480	blue	0.46	[0.25,0.75]	risk	wide	left	f
Ambiguity	3	1457	blue	0.42	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	4	1914	blue	0.43	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	5	523	blue	0.43	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	6	1332	blue	0.47	[0.25,0.75]	risk	wide	left	f
Ambiguity	7	1034	blue	0.44	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	8	1014	blue	0.46	[0.25,0.75]	risk	wide	left	f
Ambiguity	9	999	blue	0.45	[0.25,0.75]	risk	wide	right	j
Ambiguity	10	1997	blue	0.44	[0.25,0.75]	risk	wide	right	j
Ambiguity	11	1037	blue	0.41	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	12	535	blue	0.39	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	13	501	blue	0.38	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	14	2074	blue	0.4	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	15	3153	blue	0.5	[0,1]	Ambiguous	wide	right	f
Ambiguity	16	962	blue	0.6	[0,1]	risk	wide	left	f
Ambiguity	17	1337	blue	0.54	[0,1]	risk	wide	left	f
Ambiguity	18	1190	blue	0.46	[0,1]	Ambiguous	wide	right	f
Ambiguity	19	1354	blue	0.49	[0,1]	risk	wide	right	j
Ambiguity	20	1108	blue	0.47	[0,1]	Ambiguous	wide	left	j
Ambiguity	21	773	blue	0.48	[0,1]	Ambiguous	wide	right	f
Ambiguity	22	963	blue	0.51	[0,1]	risk	wide	left	f
Ambiguity	23	734	blue	0.5	[0,1]	risk	wide	left	f
Ambiguity	24	1152	blue	0.47	[0,1]	Ambiguous	wide	right	f
Ambiguity	25	1107	blue	0.47	[0,1]	Ambiguous	wide	right	f
Ambiguity	26	783	blue	0.47	[0,1]	Ambiguous	wide	left	j
Ambiguity	27	575	blue	0.49	[0,1]	Ambiguous	wide	right	f
Ambiguity	28	661	blue	0.52	[0,1]	risk	wide	left	f
Ambiguity	29	632	blue	0.5	[0,1]	risk	wide	right	j
Ambiguity	30	1289	red	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	31	686	red	0.4	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	32	739	red	0.46	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	33	782	red	0.55	[0.25,0.75]	risk	narrow	right	j
Ambiguity	34	NA	red	0.52	[0.25,0.75]	Ambiguous	narrow	right	
