Blocktype	tnum	rt	color	winprob	Amb	choice	dist	side	response
Ambiguity	0	1435	green	0.5	[0.25,0.75]	risk	narrow	left	f
Ambiguity	1	3421	green	0.4	[0.25,0.75]	risk	narrow	left	f
Ambiguity	2	2022	green	0.23	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	3	1777	green	0.33	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	4	1978	green	0.44	[0.25,0.75]	risk	narrow	left	f
Ambiguity	5	1052	green	0.38	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	6	2672	green	0.38	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	7	1744	green	0.43	[0.25,0.75]	risk	narrow	right	j
Ambiguity	8	815	green	0.4	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	9	731	green	0.42	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	10	1883	green	0.43	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	11	1489	green	0.44	[0.25,0.75]	risk	narrow	right	j
Ambiguity	12	829	green	0.43	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	13	956	green	0.42	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	14	839	green	0.41	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	15	644	green	0.5	[0,1]	risk	narrow	right	j
Ambiguity	16	650	green	0.39	[0,1]	risk	narrow	right	j
Ambiguity	17	2714	green	0.22	[0,1]	Ambiguous	narrow	left	j
Ambiguity	18	1513	green	0.32	[0,1]	Ambiguous	narrow	right	f
Ambiguity	19	1402	green	0.43	[0,1]	risk	narrow	right	j
Ambiguity	20	1076	green	0.37	[0,1]	Ambiguous	narrow	left	j
Ambiguity	21	1401	green	0.37	[0,1]	Ambiguous	narrow	right	f
Ambiguity	22	986	green	0.42	[0,1]	risk	narrow	left	f
Ambiguity	23	1168	green	0.4	[0,1]	risk	narrow	left	f
Ambiguity	24	1204	green	0.36	[0,1]	Ambiguous	narrow	left	j
Ambiguity	25	877	green	0.36	[0,1]	risk	narrow	right	j
Ambiguity	26	998	green	0.34	[0,1]	Ambiguous	narrow	left	j
Ambiguity	27	1661	green	0.35	[0,1]	Ambiguous	narrow	right	f
Ambiguity	28	754	green	0.35	[0,1]	Ambiguous	narrow	left	j
Ambiguity	29	754	green	0.33	[0,1]	Ambiguous	narrow	right	f
Ambiguity	30	3134	red	0.5	[0.25,0.75]	risk	wide	right	j
Ambiguity	31	3595	red	0.41	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	32	1076	red	0.45	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	33	532	red	0.49	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	34	546	red	0.58	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	35	920	red	0.73	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	36	912	red	0.97	[0.25,0.75]	risk	wide	left	f
Ambiguity	37	584	red	0.84	[0.25,0.75]	risk	wide	left	f
Ambiguity	38	1760	red	0.64	[0.25,0.75]	risk	wide	right	j
Ambiguity	39	1070	red	0.37	[0.25,0.75]	risk	wide	left	f
Ambiguity	40	1561	red	0	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	41	1021	red	0.19	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	42	1391	red	0.48	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	43	1523	red	0.98	[0.25,0.75]	risk	wide	right	j
Ambiguity	44	734	red	0.74	[0.25,0.75]	risk	wide	right	j
Ambiguity	45	698	red	0.5	[0,1]	risk	wide	right	j
Ambiguity	46	937	red	0.38	[0,1]	Ambiguous	wide	left	j
Ambiguity	47	800	red	0.4	[0,1]	Ambiguous	wide	right	f
Ambiguity	48	1949	red	0.5	[0,1]	Ambiguous	wide	left	j
Ambiguity	49	760	red	0.59	[0,1]	risk	wide	right	j
Ambiguity	50	1028	red	0.52	[0,1]	risk	wide	left	f
Ambiguity	51	1068	red	0.44	[0,1]	Ambiguous	wide	left	j
Ambiguity	52	1056	red	0.45	[0,1]	Ambiguous	wide	right	f
Ambiguity	53	1773	red	0.53	[0,1]	risk	wide	left	f
Ambiguity	54	730	red	0.48	[0,1]	Ambiguous	wide	left	j
Ambiguity	55	764	red	0.49	[0,1]	Ambiguous	wide	right	f
Ambiguity	56	1348	red	0.52	[0,1]	risk	wide	left	f
Ambiguity	57	543	red	0.52	[0,1]	risk	wide	left	f
Ambiguity	58	850	red	0.49	[0,1]	Ambiguous	wide	left	j
Ambiguity	59	1214	red	0.47	[0,1]	Ambiguous	wide	left	j
Ambiguity	60	3243	blue	0.5	[0.25,0.75]	risk	skew	right	j
