Blocktype	tnum	rt	color	winprob	select	dist	side	response
Risk	0	3471	red	0.5	left	narrow	[""right""]	f
Risk	1	2373	red	0.5	right	narrow	[""left""]	j
Risk	2	1768	red	0.3	right	narrow	[""left""]	j
Risk	3	1544	red	0.2	right	narrow	[""left""]	j
Risk	4	1460	red	0.5	right	narrow	[""left""]	j
Risk	5	1682	red	0.4	right	narrow	[""left""]	j
Risk	6	1189	red	0.5	right	narrow	[""left""]	j
Risk	7	1663	red	0.5	left	narrow	[""right""]	f
Risk	8	2437	red	0.6	left	narrow	[""left""]	f
Risk	9	1104	red	0.5	right	narrow	[""left""]	j
Risk	10	1081	red	0.5	left	narrow	[""right""]	f
Risk	11	1270	red	0.5	left	narrow	[""right""]	f
Risk	12	1980	red	0.4	left	narrow	[""right""]	f
Risk	13	1038	red	0.6	right	narrow	[""right""]	j
Risk	14	1174	red	0.5	right	narrow	[""left""]	j
Risk	15	1172	red	0.3	left	narrow	[""right""]	f
Risk	16	1345	red	0.4	left	narrow	[""right""]	f
Risk	17	1161	red	0.5	left	narrow	[""right""]	f
Risk	18	1622	red	0.7	left	narrow	[""left""]	f
Risk	19	1317	red	0.6	left	narrow	[""left""]	f
Risk	20	1587	green	0.7	left	skew	[""left""]	f
Risk	21	1113	green	0.6000000000000001	left	skew	[""left""]	f
Risk	22	954	green	0.8	left	skew	[""left""]	f
Risk	23	1519	green	0.5	left	skew	[""right""]	f
Risk	24	1155	green	0.5	left	skew	[""right""]	f
Risk	25	1214	green	0.7	right	skew	[""right""]	j
Risk	26	1108	green	0.6000000000000001	right	skew	[""right""]	j
Risk	27	1741	green	0.4	right	skew	[""left""]	j
Risk	28	1070	green	0.7	left	skew	[""left""]	f
Risk	29	1133	green	0.7	right	skew	[""right""]	j
Risk	30	836	green	0.8999999999999999	left	skew	[""left""]	f
Risk	31	1017	green	0.7	left	skew	[""left""]	f
Risk	32	924	green	0.7	right	skew	[""right""]	j
Risk	33	900	green	0.8	right	skew	[""right""]	j
Risk	34	797	green	0.8	right	skew	[""right""]	j
Risk	35	806	green	0.7	right	skew	[""right""]	j
Risk	36	663	green	0.7	right	skew	[""right""]	j
Risk	37	782	green	0.7	left	skew	[""left""]	f
Risk	38	787	green	0.7	right	skew	[""right""]	j
Risk	39	1059	green	0.6000000000000001	right	skew	[""right""]	j
Risk	40	1042	blue	1	left	wide	[""left""]	f
Risk	41	1705	blue	0.1	right	wide	[""left""]	j
Risk	42	1201	blue	0	left	wide	[""right""]	f
Risk	43	1068	blue	0.1	left	wide	[""right""]	f
Risk	44	1219	blue	1	left	wide	[""left""]	f
Risk	45	1729	blue	0.7	left	wide	[""left""]	f
Risk	46	1882	blue	0.9	right	wide	[""right""]	j
Risk	47	1537	blue	0.8	left	wide	[""left""]	f
Risk	48	939	blue	0.8	left	wide	[""left""]	f
Risk	49	1049	blue	0.9	left	wide	[""left""]	f
Risk	50	924	blue	0.1	right	wide	[""left""]	j
Risk	51	1070	blue	0.2	left	wide	[""right""]	f
Risk	52	1236	blue	0	left	wide	[""right""]	f
Risk	53	724	blue	0	left	wide	[""right""]	f
Risk	54	837	blue	1	left	wide	[""left""]	f
Risk	55	1085	blue	0.3	left	wide	[""right""]	f
Risk	56	865	blue	0.9	left	wide	[""left""]	f
Risk	57	1010	blue	0.2	left	wide	[""right""]	f
Risk	58	892	blue	0	right	wide	[""left""]	j
Risk	59	908	blue	0	right	wide	[""left""]	j
