Blocktype	tnum	rt	color	winprob	Amb	RL_feedback	choice	dist	side	response
Learning	1	2387	red	0.5	[0,1]	lose	risk	norm	right	j
Learning	2	2389	red	0.38	[0,1]	lose	Amb	norm	right	f
Learning	3	1800	red	0.43	[0,1]	lose	Amb	norm	right	f
Learning	4	1476	red	0.47	[0,1]	lose	Amb	norm	left	j
Learning	5	845	red	0.58	[0,1]	lose	risk	norm	right	j
Learning	6	609	red	0.53	[0,1]	lose	risk	norm	left	f
Learning	7	580	red	0.43	[0,1]	lose	Amb	norm	right	f
Learning	8	707	red	0.44	[0,1]	lose	Amb	norm	left	j
Learning	9	841	red	0.5	[0,1]	lose	risk	norm	left	f
Learning	10	649	red	0.48	[0,1]	lose	Amb	norm	right	f
Learning	11	780	red	0.49	[0,1]	lose	Amb	norm	left	j
Learning	12	590	red	0.53	[0,1]	lose	risk	norm	left	f
Learning	13	633	red	0.52	[0,1]	lose	risk	norm	left	f
Learning	14	661	red	0.48	[0,1]	lose	Amb	norm	left	j
Learning	15	777	red	0.47	[0,1]	lose	Amb	norm	right	f
Learning	1	1147	blue	0.5	[0,1]	lose	risk	norm	right	j
Learning	2	856	blue	0.38	[0,1]	lose	Amb	norm	left	j
Learning	3	958	blue	0.45	[0,1]	lose	Amb	norm	right	f
Learning	4	821	blue	0.51	[0,1]	lose	risk	norm	left	f
Learning	5	604	blue	0.47	[0,1]	lose	Amb	norm	left	j
Learning	6	732	blue	0.49	[0,1]	lose	Amb	norm	right	f
Learning	7	599	blue	0.49	[0,1]	lose	Amb	norm	right	f
Learning	8	975	blue	0.52	[0,1]	lose	risk	norm	left	f
Learning	9	568	blue	0.49	[0,1]	lose	Amb	norm	left	j
Learning	10	749	blue	0.47	[0,1]	lose	Amb	norm	left	j
Learning	11	509	blue	0.5	[0,1]	lose	risk	norm	left	f
Learning	12	709	blue	0.47	[0,1]	lose	Amb	norm	left	j
Learning	13	712	blue	0.47	[0,1]	lose	Amb	norm	right	f
Learning	14	639	blue	0.46	[0,1]	lose	risk	norm	left	f
Learning	15	819	blue	0.44	[0,1]	lose	Amb	norm	left	j
Learning	1	992	green	0.5	[0,1]	lose	risk	norm	right	j
Learning	2	609	green	0.39	[0,1]	lose	Amb	norm	right	f
Learning	3	541	green	0.43	[0,1]	lose	Amb	norm	right	f
Learning	4	615	green	0.51	[0,1]	lose	risk	norm	right	j
Learning	5	786	green	0.46	[0,1]	lose	Amb	norm	left	j
Learning	6	789	green	0.45	[0,1]	lose	Amb	norm	right	f
Learning	7	692	green	0.47	[0,1]	lose	Amb	norm	left	j
Learning	8	755	green	0.53	[0,1]	lose	risk	norm	right	j
Learning	9	510	green	0.49	[0,1]	lose	Amb	norm	left	j
Learning	10	720	green	0.48	[0,1]	lose	Amb	norm	right	f
Learning	11	637	green	0.51	[0,1]	lose	risk	norm	right	j
Learning	12	481	green	0.51	[0,1]	lose	risk	norm	right	j
Learning	13	566	green	0.51	[0,1]	lose	Amb	norm	left	j
Learning	14	568	green	0.52	[0,1]	lose	risk	norm	left	f
Learning	15	614	green	0.53	[0,1]	lose	risk	norm	right	j
Learning	1	1091	red	0.5	[0,1]	win	risk	norm	right	j
Learning	2	628	red	0.38	[0,1]	win	Amb	norm	left	j
Learning	3	513	red	0.43	[0,1]	win	Amb	norm	right	f
Learning	4	521	red	0.53	[0,1]	win	Amb	norm	left	j
Learning	5	759	red	0.63	[0,1]	win	Amb	norm	right	f
Learning	6	688	red	0.8	[0,1]	win	risk	norm	left	f
Learning	7	750	red	0.72	[0,1]	win	risk	norm	left	f
Learning	8	722	red	0.58	[0,1]	win	Amb	norm	left	j
Learning	9	575	red	0.63	[0,1]	win	risk	norm	left	f
Learning	10	859	red	0.6	[0,1]	win	risk	norm	left	f
Learning	11	700	red	0.55	[0,1]	win	Amb	norm	right	f
Learning	12	764	red	0.55	[0,1]	win	Amb	norm	right	f
Learning	13	460	red	0.59	[0,1]	win	Amb	norm	right	f
Learning	14	708	red	0.66	[0,1]	win	risk	norm	left	f
Learning	15	608	red	0.64	[0,1]	win	risk	norm	left	f
Learning	1	1128	blue	0.5	[0,1]	win	risk	norm	right	j
Learning	2	857	blue	0.4	[0,1]	win	Amb	norm	left	j
Learning	3	611	blue	0.42	[0,1]	win	Amb	norm	right	f
Learning	4	880	blue	0.51	[0,1]	win	Amb	norm	right	f
