Blocktype	tnum	rt	color	winprob	Amb	RL_feedback	choice	dist	side	response
Learning	1	2637	red	0.5	[0,1]	win	risk	norm	right	j
Learning	2	3027	red	0.41	[0,1]	win	risk	norm	left	f
Learning	3	2183	red	0.27	[0,1]	win	Amb	norm	right	f
Learning	4	3954	red	0.33	[0,1]	win	risk	norm	right	j
Learning	5	1506	red	0.27	[0,1]	win	Amb	norm	left	j
Learning	6	3186	red	0.28	[0,1]	win	Amb	norm	left	j
Learning	7	1742	red	0.3	[0,1]	win	risk	norm	left	f
Learning	8	2869	red	0.27	[0,1]	win	Amb	norm	left	j
Learning	9	978	red	0.26	[0,1]	win	Amb	norm	left	j
Learning	10	1947	red	0.29	[0,1]	win	risk	norm	left	f
Learning	11	1472	red	0.26	[0,1]	win	Amb	norm	left	j
Learning	12	1417	red	0.23	[0,1]	win	Amb	norm	right	f
Learning	13	1322	red	0.21	[0,1]	win	Amb	norm	left	j
Learning	14	1161	red	0.23	[0,1]	win	Amb	norm	left	j
Learning	15	1162	red	0.23	[0,1]	win	Amb	norm	left	j
Learning	1	1921	blue	0.5	[0,1]	lose	Amb	norm	left	j
Learning	2	2493	blue	0.58	[0,1]	lose	risk	norm	left	f
Learning	3	1257	blue	0.51	[0,1]	lose	Amb	norm	left	j
Learning	4	1377	blue	0.53	[0,1]	lose	Amb	norm	left	j
Learning	5	1531	blue	0.58	[0,1]	lose	risk	norm	right	j
Learning	6	1842	blue	0.55	[0,1]	lose	risk	norm	left	f
Learning	7	1387	blue	0.5	[0,1]	lose	Amb	norm	left	j
Learning	8	1431	blue	0.51	[0,1]	lose	Amb	norm	right	f
Learning	9	1501	blue	0.53	[0,1]	lose	Amb	norm	left	j
Learning	10	1298	blue	0.57	[0,1]	lose	risk	norm	left	f
Learning	11	1534	blue	0.53	[0,1]	lose	Amb	norm	right	f
Learning	12	2810	blue	0.55	[0,1]	lose	Amb	norm	right	f
Learning	13	1496	blue	0.58	[0,1]	lose	risk	norm	right	j
Learning	14	2755	blue	0.55	[0,1]	lose	Amb	norm	left	j
Learning	15	1495	blue	0.52	[0,1]	lose	Amb	norm	left	j
Learning	1	1806	blue	0.5	[0,1]	win	Amb	norm	right	f
Learning	2	842	blue	0.6	[0,1]	win	risk	norm	right	j
Learning	3	1898	blue	0.55	[0,1]	win	Amb	norm	left	j
Learning	4	1325	blue	0.6	[0,1]	win	risk	norm	right	j
Learning	5	1146	blue	0.6	[0,1]	win	risk	norm	left	f
Learning	6	2347	blue	0.57	[0,1]	win	Amb	norm	left	j
Learning	7	1278	blue	0.6	[0,1]	win	risk	norm	right	j
Learning	8	1978	blue	0.58	[0,1]	win	risk	norm	right	j
Learning	9	1723	blue	0.58	[0,1]	win	risk	norm	right	j
Learning	10	1579	blue	0.58	[0,1]	win	risk	norm	right	j
Learning	11	1819	blue	0.54	[0,1]	win	Amb	norm	right	f
Learning	12	1631	blue	0.55	[0,1]	win	Amb	norm	right	f
Learning	13	2187	blue	0.57	[0,1]	win	risk	norm	left	f
Learning	14	1655	blue	0.54	[0,1]	win	Amb	norm	right	f
Learning	15	1186	blue	0.55	[0,1]	win	Amb	norm	left	j
Learning	1	903	red	0.5	[0,1]	lose	risk	norm	right	j
Learning	2	1406	red	0.41	[0,1]	lose	risk	norm	right	j
Learning	3	1298	red	0.27	[0,1]	lose	Amb	norm	right	f
Learning	4	1785	red	0.32	[0,1]	lose	Amb	norm	left	j
Learning	5	1071	red	0.43	[0,1]	lose	risk	norm	right	j
Learning	6	2179	red	0.35	[0,1]	lose	risk	norm	left	f
Learning	7	1228	red	0.26	[0,1]	lose	Amb	norm	right	f
Learning	8	1145	red	0.29	[0,1]	lose	Amb	norm	left	j
Learning	9	962	red	0.35	[0,1]	lose	risk	norm	left	f
Learning	10	2709	red	0.3	[0,1]	lose	Amb	norm	right	f
Learning	11	2560	red	0.31	[0,1]	lose	Amb	norm	left	j
Learning	12	754	red	0.35	[0,1]	lose	risk	norm	left	f
Learning	13	2117	red	0.33	[0,1]	lose	Amb	norm	left	j
Learning	14	1642	red	0.31	[0,1]	lose	Amb	norm	left	j
Learning	15	1284	red	0.32	[0,1]	lose	Amb	norm	right	f
Learning	1	1194	green	0.5	[0,1]	win	Amb	norm	left	j
Learning	2	1550	green	0.58	[0,1]	win	Amb	norm	right	f
Learning	3	1302	green	0.74	[0,1]	win	risk	norm	left	f
Learning	4	1071	green	0.65	[0,1]	win	Amb	norm	left	j
Learning	5	1902	green	0.66	[0,1]	win	Amb	norm	right	f
Learning	6	1439	green	0.7	[0,1]	win	risk	norm	left	f
Learning	7	2050	green	0.65	[0,1]	win	Amb	norm	right	f
Learning	8	1458	green	0.64	[0,1]	win	Amb	norm	left	j
Learning	9	1811	green	0.66	[0,1]	win	Amb	norm	left	j
Learning	10	1094	green	0.7	[0,1]	win	risk	norm	left	f
Learning	11	1805	green	0.66	[0,1]	win	Amb	norm	left	j
Learning	12	1465	green	0.65	[0,1]	win	Amb	norm	right	f
Learning	13	1406	green	0.63	[0,1]	win	Amb	norm	right	f
Learning	14	2584	green	0.67	[0,1]	win	risk	norm	left	f
Learning	15	1102	green	0.67	[0,1]	win	risk	norm	right	j
Learning	1	1578	green	0.5	[0,1]	lose	Amb	norm	right	f
Learning	2	992	green	0.59	[0,1]	lose	Amb	norm	right	f
Learning	3	1134	green	0.73	[0,1]	lose	risk	norm	left	f
Learning	4	1885	green	0.67	[0,1]	lose	Amb	norm	left	j
Learning	5	909	green	0.68	[0,1]	lose	risk	norm	left	f
Learning	6	1511	green	0.67	[0,1]	lose	Amb	norm	right	f
Learning	7	1401	green	0.69	[0,1]	lose	risk	norm	left	f
Learning	8	1724	green	0.67	[0,1]	lose	Amb	norm	right	f
Learning	9	1200	green	0.69	[0,1]	lose	risk	norm	right	j
Learning	10	887	green	0.69	[0,1]	lose	risk	norm	left	f
Learning	11	1806	green	0.67	[0,1]	lose	risk	norm	left	f
Learning	12	1258	green	0.65	[0,1]	lose	Amb	norm	left	j
Learning	13	1595	green	0.62	[0,1]	lose	Amb	norm	right	f
Learning	14	1603	green	0.63	[0,1]	lose	Amb	norm	left	j
Learning	15	1058	green	0.6	[0,1]	lose	Amb	norm	left	j
