Blocktype	tnum	rt	color	winprob	select	dist	side	response
Risk	0	1707	green	0.3	left	narrow	[""right""]	f
Risk	1	1509	green	0.5	right	narrow	[""left""]	j
Risk	2	1312	green	0.5	left	narrow	[""right""]	f
Risk	3	1445	green	0.5	right	narrow	[""left""]	j
Risk	4	1449	green	0.4	left	narrow	[""right""]	f
Risk	5	1201	green	0.5	left	narrow	[""right""]	f
Risk	6	949	green	0.5	left	narrow	[""right""]	f
Risk	7	1030	green	0.5	right	narrow	[""left""]	j
Risk	8	1177	green	0.5	right	narrow	[""left""]	j
Risk	9	1296	green	0.7	right	narrow	[""right""]	j
Risk	10	1259	green	0.4	right	narrow	[""left""]	j
Risk	11	1297	green	0.5	left	narrow	[""right""]	f
Risk	12	1183	green	0.6	right	narrow	[""right""]	j
Risk	13	966	green	0.4	left	narrow	[""right""]	f
Risk	14	1240	green	0.2	left	narrow	[""right""]	f
Risk	15	1254	green	0.6	left	narrow	[""left""]	f
Risk	16	982	green	0.5	left	narrow	[""right""]	f
Risk	17	1142	green	0.3	left	narrow	[""right""]	f
Risk	18	1077	green	0.5	right	narrow	[""left""]	j
Risk	19	960	green	0.6	left	narrow	[""left""]	f
Risk	20	957	blue	0	right	wide	[""left""]	j
Risk	21	1111	blue	0	left	wide	[""right""]	f
Risk	22	1752	blue	0.9	right	wide	[""left""]	j
Risk	23	1080	blue	1	right	wide	[""right""]	j
Risk	24	831	blue	0	left	wide	[""right""]	f
Risk	25	884	blue	0.8	left	wide	[""left""]	f
Risk	26	972	blue	0.9	left	wide	[""left""]	f
Risk	27	923	blue	0.1	right	wide	[""left""]	j
Risk	28	827	blue	0.1	right	wide	[""left""]	j
Risk	29	674	blue	1	left	wide	[""left""]	f
Risk	30	863	blue	0.7	left	wide	[""left""]	f
Risk	31	938	blue	0.1	right	wide	[""left""]	j
Risk	32	914	blue	0	left	wide	[""right""]	f
Risk	33	851	blue	0.8	right	wide	[""right""]	j
Risk	34	1003	blue	0.2	right	wide	[""left""]	j
Risk	35	772	blue	0	right	wide	[""left""]	j
Risk	36	778	blue	0.2	right	wide	[""left""]	j
Risk	37	890	blue	1	right	wide	[""right""]	j
Risk	38	1051	blue	0.3	right	wide	[""left""]	j
Risk	39	765	blue	0.9	left	wide	[""left""]	f
Risk	40	1058	red	0.7	right	skew	[""right""]	j
Risk	41	879	red	0.8	left	skew	[""left""]	f
Risk	42	794	red	0.7	right	skew	[""right""]	j
Risk	43	842	red	0.8999999999999999	right	skew	[""right""]	j
Risk	44	740	red	0.8	right	skew	[""right""]	j
Risk	45	822	red	0.6000000000000001	left	skew	[""left""]	f
Risk	46	715	red	0.7	left	skew	[""left""]	f
Risk	47	682	red	0.7	left	skew	[""left""]	f
Risk	48	741	red	0.7	right	skew	[""right""]	j
Risk	49	774	red	0.6000000000000001	right	skew	[""right""]	j
Risk	50	674	red	0.7	left	skew	[""left""]	f
Risk	51	677	red	0.6000000000000001	left	skew	[""left""]	f
Risk	52	1027	red	0.5	right	skew	[""left""]	j
Risk	53	739	red	0.8	left	skew	[""left""]	f
Risk	54	698	red	0.7	left	skew	[""left""]	f
Risk	55	778	red	0.5	right	skew	[""left""]	j
Risk	56	865	red	0.7	right	skew	[""right""]	j
Risk	57	688	red	0.7	left	skew	[""left""]	f
Risk	58	695	red	0.4	right	skew	[""left""]	j
Risk	59	631	red	0.7	right	skew	[""right""]	j
