Blocktype	tnum	rt	color	winprob	Amb	RL_feedback	choice	dist	side	response
Learning	1	3800	red	0.5	[0,1]	lose	Amb	norm	right	f
Learning	2	1458	red	0.59	[0,1]	lose	risk	norm	left	f
Learning	3	804	red	0.54	[0,1]	lose	Amb	norm	left	j
Learning	4	1587	red	0.54	[0,1]	lose	Amb	norm	right	f
Learning	5	2044	red	0.59	[0,1]	lose	risk	norm	right	j
Learning	6	1027	red	0.56	[0,1]	lose	Amb	norm	left	j
Learning	7	3093	red	0.59	[0,1]	lose	Amb	norm	right	f
Learning	8	2880	red	0.62	[0,1]	lose	Amb	norm	left	j
Learning	9	1683	red	0.63	[0,1]	lose	risk	norm	right	j
Learning	10	1056	red	0.61	[0,1]	lose	risk	norm	left	f
Learning	11	1079	red	0.58	[0,1]	lose	Amb	norm	right	f
Learning	12	837	red	0.61	[0,1]	lose	risk	norm	left	f
Learning	13	766	red	0.62	[0,1]	lose	risk	norm	left	f
Learning	14	604	red	0.62	[0,1]	lose	risk	norm	left	f
Learning	15	583	red	0.62	[0,1]	lose	risk	norm	left	f
Learning	1	2050	green	0.5	[0,1]	win	Amb	norm	left	j
Learning	2	956	green	0.62	[0,1]	win	risk	norm	right	j
Learning	3	1635	green	0.58	[0,1]	win	Amb	norm	right	f
Learning	4	1698	green	0.63	[0,1]	win	risk	norm	left	f
Learning	5	1332	green	0.62	[0,1]	win	risk	norm	right	j
Learning	6	1486	green	0.59	[0,1]	win	Amb	norm	left	j
Learning	7	1195	green	0.57	[0,1]	win	Amb	norm	right	f
Learning	8	1516	green	0.6	[0,1]	win	Amb	norm	right	f
Learning	9	999	green	0.62	[0,1]	win	risk	norm	left	f
Learning	10	1272	green	0.62	[0,1]	win	risk	norm	right	j
Learning	11	1204	green	0.58	[0,1]	win	Amb	norm	right	f
Learning	12	2766	green	0.6	[0,1]	win	Amb	norm	left	j
Learning	13	1504	green	0.6	[0,1]	win	risk	norm	right	j
Learning	14	778	green	0.59	[0,1]	win	risk	norm	right	j
Learning	15	811	green	0.56	[0,1]	win	Amb	norm	right	f
Learning	1	2702	green	0.5	[0,1]	lose	risk	norm	left	f
Learning	2	1124	green	0.4	[0,1]	lose	Amb	norm	right	f
Learning	3	951	green	0.46	[0,1]	lose	Amb	norm	left	j
Learning	4	968	green	0.53	[0,1]	lose	risk	norm	left	f
Learning	5	954	green	0.47	[0,1]	lose	Amb	norm	left	j
Learning	6	850	green	0.46	[0,1]	lose	Amb	norm	right	f
Learning	7	672	green	0.49	[0,1]	lose	Amb	norm	right	f
Learning	8	1404	green	0.5	[0,1]	lose	risk	norm	right	j
Learning	9	900	green	0.48	[0,1]	lose	Amb	norm	left	j
Learning	10	618	green	0.49	[0,1]	lose	Amb	norm	left	j
Learning	11	1061	green	0.48	[0,1]	lose	Amb	norm	right	f
Learning	12	755	green	0.48	[0,1]	lose	Amb	norm	right	f
Learning	13	1437	green	0.5	[0,1]	lose	Amb	norm	left	j
Learning	14	967	green	0.54	[0,1]	lose	risk	norm	right	j
Learning	15	1238	green	0.5	[0,1]	lose	Amb	norm	left	j
Learning	1	1285	blue	0.5	[0,1]	win	Amb	norm	left	j
Learning	2	1074	blue	0.61	[0,1]	win	risk	norm	right	j
Learning	3	3590	blue	0.54	[0,1]	win	risk	norm	left	f
Learning	4	2417	blue	0.46	[0,1]	win	Amb	norm	right	f
Learning	5	1572	blue	0.52	[0,1]	win	Amb	norm	left	j
Learning	6	1401	blue	0.58	[0,1]	win	Amb	norm	right	f
Learning	7	1164	blue	0.68	[0,1]	win	risk	norm	right	j
Learning	8	2175	blue	0.62	[0,1]	win	risk	norm	left	f
Learning	9	1350	blue	0.55	[0,1]	win	Amb	norm	left	j
Learning	10	918	blue	0.57	[0,1]	win	Amb	norm	left	j
Learning	11	1462	blue	0.64	[0,1]	win	risk	norm	right	j
Learning	12	1366	blue	0.62	[0,1]	win	risk	norm	left	f
Learning	13	744	blue	0.59	[0,1]	win	Amb	norm	left	j
Learning	14	1188	blue	0.59	[0,1]	win	Amb	norm	left	j
Learning	15	1542	blue	0.63	[0,1]	win	risk	norm	right	j
Learning	1	2125	red	0.5	[0,1]	win	Amb	norm	right	f
Learning	2	2482	red	0.57	[0,1]	win	risk	norm	left	f
Learning	3	872	red	0.51	[0,1]	win	risk	norm	right	j
Learning	4	1802	red	0.41	[0,1]	win	Amb	norm	left	j
Learning	5	862	red	0.43	[0,1]	win	Amb	norm	left	j
Learning	6	1032	red	0.46	[0,1]	win	Amb	norm	right	f
Learning	7	1701	red	0.51	[0,1]	win	risk	norm	left	f
Learning	8	1321	red	0.45	[0,1]	win	Amb	norm	left	j
Learning	9	1465	red	0.47	[0,1]	win	Amb	norm	right	f
Learning	10	4124	red	0.52	[0,1]	win	risk	norm	left	f
Learning	11	1258	red	0.5	[0,1]	win	Amb	norm	right	f
Learning	12	2187	red	0.49	[0,1]	win	risk	norm	left	f
Learning	13	1208	red	0.47	[0,1]	win	Amb	norm	right	f
Learning	14	1163	red	0.45	[0,1]	win	Amb	norm	left	j
Learning	15	985	red	0.46	[0,1]	win	Amb	norm	left	j
Learning	1	1585	blue	0.5	[0,1]	lose	Amb	norm	right	f
Learning	2	1824	blue	0.57	[0,1]	lose	risk	norm	right	j
Learning	3	1618	blue	0.53	[0,1]	lose	risk	norm	left	f
Learning	4	1645	blue	0.46	[0,1]	lose	Amb	norm	right	f
Learning	5	999	blue	0.52	[0,1]	lose	Amb	norm	left	j
Learning	6	1448	blue	0.55	[0,1]	lose	Amb	norm	left	j
Learning	7	1110	blue	0.63	[0,1]	lose	Amb	norm	right	f
Learning	8	1123	blue	0.77	[0,1]	lose	risk	norm	left	f
Learning	9	781	blue	0.71	[0,1]	lose	risk	norm	left	f
Learning	10	1119	blue	0.63	[0,1]	lose	Amb	norm	left	j
Learning	11	2268	blue	0.68	[0,1]	lose	risk	norm	right	j
Learning	12	857	blue	0.67	[0,1]	lose	risk	norm	right	j
Learning	13	1436	blue	0.61	[0,1]	lose	Amb	norm	left	j
Learning	14	1489	blue	0.63	[0,1]	lose	Amb	norm	right	f
Learning	15	1726	blue	0.68	[0,1]	lose	risk	norm	left	f
