Lot_color	dist	percent	value	order
R	skew	0	3	3
R	skew	10	0	3
R	skew	20	0	3
R	skew	30	1	3
R	skew	40	3	3
R	skew	50	4	3
R	skew	60	3	3
R	skew	70	5	3
R	skew	80	3	3
R	skew	90	3	3
R	skew	100	4	3
G	wide	0	2	1
G	wide	10	0	1
G	wide	20	0	1
G	wide	30	3	1
G	wide	40	1	1
G	wide	50	3	1
G	wide	60	1	1
G	wide	70	3	1
G	wide	80	2	1
G	wide	90	2	1
G	wide	100	2	1
B	narrow	0	2	2
B	narrow	10	0	2
B	narrow	20	0	2
B	narrow	30	3	2
B	narrow	40	2	2
B	narrow	50	3	2
B	narrow	60	0	2
B	narrow	70	2	2
B	narrow	80	1	2
B	narrow	90	1	2
B	narrow	100	0	2
