Blocktype	tnum	rt	color	winprob	Amb	choice	dist	side	response
Ambiguity	0	2762	green	0.5	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	1	3185	green	0.58	[0.25,0.75]	risk	skew	left	f
Ambiguity	2	2116	green	0.54	[0.25,0.75]	risk	skew	right	j
Ambiguity	3	1710	green	0.46	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	4	1548	green	0.5	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	5	1652	green	0.54	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	6	1618	green	0.6	[0.25,0.75]	risk	skew	right	j
Ambiguity	7	1393	green	0.57	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	8	1634	green	0.6	[0.25,0.75]	risk	skew	right	j
Ambiguity	9	1546	green	0.6	[0.25,0.75]	risk	skew	right	j
Ambiguity	10	1577	green	0.58	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	11	1330	green	0.56	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	12	1655	green	0.54	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	13	2231	green	0.55	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	14	1024	green	0.55	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	15	2265	green	0.5	[0,1]	Ambiguous	skew	left	j
Ambiguity	16	1094	green	0.57	[0,1]	Ambiguous	skew	left	j
Ambiguity	17	1359	green	0.72	[0,1]	risk	skew	left	f
Ambiguity	18	2566	green	0.64	[0,1]	risk	skew	right	j
Ambiguity	19	2055	green	0.51	[0,1]	Ambiguous	skew	left	j
Ambiguity	20	1176	green	0.59	[0,1]	Ambiguous	skew	right	f
Ambiguity	21	1102	green	0.65	[0,1]	risk	skew	left	f
Ambiguity	22	797	green	0.61	[0,1]	risk	skew	left	f
Ambiguity	23	1126	green	0.55	[0,1]	Ambiguous	skew	right	f
Ambiguity	24	1001	green	0.56	[0,1]	Ambiguous	skew	right	f
Ambiguity	25	676	green	0.61	[0,1]	risk	skew	right	j
Ambiguity	26	788	green	0.58	[0,1]	Ambiguous	skew	right	f
Ambiguity	27	1188	green	0.61	[0,1]	risk	skew	left	f
Ambiguity	28	763	green	0.61	[0,1]	risk	skew	left	f
Ambiguity	29	1226	green	0.58	[0,1]	Ambiguous	skew	right	f
Ambiguity	30	NA	blue	0.5	[0.25,0.75]	Ambiguous	narrow	right	
Ambiguity	31	1545	blue	0.58	[0.25,0.75]	risk	narrow	right	j
Ambiguity	32	1319	blue	0.53	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	33	1742	blue	0.54	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	34	1139	blue	0.57	[0.25,0.75]	risk	narrow	left	f
Ambiguity	35	1544	blue	0.55	[0.25,0.75]	risk	narrow	right	j
Ambiguity	36	1506	blue	0.5	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	37	1496	blue	0.52	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	38	1960	blue	0.54	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	39	840	blue	0.58	[0.25,0.75]	risk	narrow	right	j
Ambiguity	40	759	blue	0.56	[0.25,0.75]	risk	narrow	left	f
Ambiguity	41	1185	blue	0.52	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	42	1609	blue	0.55	[0.25,0.75]	risk	narrow	right	j
Ambiguity	43	1062	blue	0.52	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	44	1304	blue	0.52	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	45	974	blue	0.5	[0,1]	Ambiguous	narrow	left	j
Ambiguity	46	1640	blue	0.6	[0,1]	risk	narrow	right	j
Ambiguity	47	1767	blue	0.53	[0,1]	Ambiguous	narrow	left	j
Ambiguity	48	1183	blue	0.55	[0,1]	risk	narrow	left	f
Ambiguity	49	895	blue	0.53	[0,1]	Ambiguous	narrow	left	j
Ambiguity	50	1055	blue	0.54	[0,1]	Ambiguous	narrow	right	f
Ambiguity	51	992	blue	0.52	[0,1]	Ambiguous	narrow	right	f
Ambiguity	52	750	blue	0.53	[0,1]	Ambiguous	narrow	right	f
Ambiguity	53	1156	blue	0.55	[0,1]	risk	narrow	left	f
Ambiguity	54	1092	blue	0.55	[0,1]	risk	narrow	right	j
Ambiguity	55	884	blue	0.52	[0,1]	Ambiguous	narrow	right	f
Ambiguity	56	851	blue	0.52	[0,1]	Ambiguous	narrow	left	j
Ambiguity	57	787	blue	0.53	[0,1]	Ambiguous	narrow	right	f
Ambiguity	58	801	blue	0.55	[0,1]	risk	narrow	right	j
Ambiguity	59	992	blue	0.53	[0,1]	Ambiguous	narrow	right	f
Ambiguity	60	2448	red	0.5	[0.25,0.75]	risk	wide	left	f
Ambiguity	61	1426	red	0.4	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	62	1469	red	0.43	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	63	1048	red	0.48	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	64	967	red	0.58	[0.25,0.75]	risk	wide	left	f
Ambiguity	65	808	red	0.51	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	66	1441	red	0.54	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	67	1887	red	0.55	[0.25,0.75]	risk	wide	left	f
Ambiguity	68	734	red	0.54	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	69	1204	red	0.52	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	70	952	red	0.54	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	71	1752	red	0.55	[0.25,0.75]	risk	wide	left	f
Ambiguity	72	1153	red	0.55	[0.25,0.75]	risk	wide	left	f
Ambiguity	73	1293	red	0.52	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	74	914	red	0.55	[0.25,0.75]	risk	wide	left	f
Ambiguity	75	976	red	0.5	[0,1]	Ambiguous	wide	left	j
Ambiguity	76	696	red	0.57	[0,1]	risk	wide	left	f
Ambiguity	77	851	red	0.51	[0,1]	Ambiguous	wide	left	j
Ambiguity	78	688	red	0.53	[0,1]	Ambiguous	wide	left	j
Ambiguity	79	666	red	0.58	[0,1]	risk	wide	left	f
Ambiguity	80	1393	red	0.55	[0,1]	risk	wide	right	j
Ambiguity	81	642	red	0.52	[0,1]	Ambiguous	wide	left	j
Ambiguity	82	619	red	0.52	[0,1]	Ambiguous	wide	left	j
Ambiguity	83	748	red	0.53	[0,1]	Ambiguous	wide	left	j
Ambiguity	84	809	red	0.54	[0,1]	Ambiguous	wide	right	f
Ambiguity	85	886	red	0.58	[0,1]	risk	wide	left	f
Ambiguity	86	780	red	0.55	[0,1]	risk	wide	left	f
Ambiguity	87	784	red	0.5	[0,1]	Ambiguous	wide	right	f
Ambiguity	88	665	red	0.52	[0,1]	Ambiguous	wide	left	j
Ambiguity	89	955	red	0.53	[0,1]	Ambiguous	wide	right	f
