Blocktype	tnum	rt	color	winprob	Amb	RL_feedback	choice	dist	side	response
Learning	1	2480	red	0.5	[0,1]	lose	Amb	norm	right	f
Learning	2	NA	red	0.62	[0,1]	lose	Amb	norm	left	
Learning	3	1165	red	0.74	[0,1]	lose	risk	norm	right	j
Learning	4	1866	red	0.65	[0,1]	lose	Amb	norm	left	j
Learning	5	1913	red	0.71	[0,1]	lose	risk	norm	left	f
Learning	6	2035	red	0.69	[0,1]	lose	Amb	norm	left	j
Learning	7	1058	red	0.71	[0,1]	lose	risk	norm	right	j
Learning	8	937	red	0.69	[0,1]	lose	risk	norm	right	j
Learning	9	1325	red	0.66	[0,1]	lose	risk	norm	left	f
Learning	10	1635	red	0.65	[0,1]	lose	risk	norm	left	f
Learning	11	1622	red	0.62	[0,1]	lose	risk	norm	right	j
Learning	12	1258	red	0.61	[0,1]	lose	risk	norm	right	j
Learning	13	1802	red	0.55	[0,1]	lose	Amb	norm	left	j
Learning	14	1543	red	0.54	[0,1]	lose	Amb	norm	right	f
Learning	15	1917	red	0.55	[0,1]	lose	Amb	norm	left	j
Learning	1	1863	green	0.5	[0,1]	win	Amb	norm	left	j
Learning	2	1181	green	0.6	[0,1]	win	risk	norm	right	j
Learning	3	1713	green	0.55	[0,1]	win	Amb	norm	left	j
Learning	4	1102	green	0.55	[0,1]	win	risk	norm	right	j
Learning	5	3429	green	0.53	[0,1]	win	Amb	norm	left	j
Learning	6	1093	green	0.54	[0,1]	win	Amb	norm	right	f
Learning	7	1207	green	0.57	[0,1]	win	Amb	norm	left	j
Learning	8	1474	green	0.6	[0,1]	win	risk	norm	right	j
Learning	9	1962	green	0.58	[0,1]	win	Amb	norm	right	f
Learning	10	1134	green	0.57	[0,1]	win	Amb	norm	left	j
Learning	11	1422	green	0.57	[0,1]	win	Amb	norm	right	f
Learning	12	1354	green	0.59	[0,1]	win	Amb	norm	left	j
Learning	13	1355	green	0.62	[0,1]	win	Amb	norm	left	j
Learning	14	773	green	0.66	[0,1]	win	risk	norm	left	f
Learning	15	922	green	0.65	[0,1]	win	risk	norm	left	f
Learning	1	2076	blue	0.5	[0,1]	lose	risk	norm	right	j
Learning	2	1033	blue	0.39	[0,1]	lose	Amb	norm	right	f
Learning	3	1692	blue	0.42	[0,1]	lose	Amb	norm	left	j
Learning	4	1036	blue	0.51	[0,1]	lose	risk	norm	left	f
Learning	5	1029	blue	0.46	[0,1]	lose	Amb	norm	left	j
Learning	6	1476	blue	0.49	[0,1]	lose	Amb	norm	right	f
Learning	7	930	blue	0.53	[0,1]	lose	Amb	norm	left	j
Learning	8	930	blue	0.58	[0,1]	lose	risk	norm	left	f
Learning	9	968	blue	0.55	[0,1]	lose	risk	norm	left	f
Learning	10	1256	blue	0.52	[0,1]	lose	risk	norm	left	f
Learning	11	1260	blue	0.47	[0,1]	lose	risk	norm	left	f
Learning	12	727	blue	0.38	[0,1]	lose	Amb	norm	left	j
Learning	13	988	blue	0.41	[0,1]	lose	Amb	norm	left	j
Learning	14	1482	blue	0.45	[0,1]	lose	Amb	norm	right	f
Learning	15	1109	blue	0.55	[0,1]	lose	risk	norm	right	j
Learning	1	1469	red	0.5	[0,1]	win	Amb	norm	right	f
Learning	2	709	red	0.61	[0,1]	win	Amb	norm	right	f
Learning	3	497	red	0.73	[0,1]	win	Amb	norm	right	f
Learning	4	917	red	0.93	[0,1]	win	risk	norm	right	j
Learning	5	1373	red	0.81	[0,1]	win	risk	norm	left	f
Learning	6	1041	red	0.65	[0,1]	win	risk	norm	left	f
Learning	7	1339	red	0.41	[0,1]	win	Amb	norm	left	j
Learning	8	1024	red	0.52	[0,1]	win	risk	norm	left	f
Learning	9	949	red	0.44	[0,1]	win	Amb	norm	left	j
Learning	10	1590	red	0.47	[0,1]	win	risk	norm	left	f
Learning	11	674	red	0.44	[0,1]	win	Amb	norm	left	j
Learning	12	1150	red	0.42	[0,1]	win	Amb	norm	right	f
Learning	13	881	red	0.42	[0,1]	win	Amb	norm	left	j
Learning	14	1040	red	0.45	[0,1]	win	Amb	norm	left	j
Learning	15	1206	red	0.46	[0,1]	win	risk	norm	right	j
Learning	1	1460	blue	0.5	[0,1]	win	risk	norm	right	j
Learning	2	1094	blue	0.39	[0,1]	win	Amb	norm	right	f
Learning	3	1056	blue	0.46	[0,1]	win	Amb	norm	right	f
Learning	4	905	blue	0.55	[0,1]	win	risk	norm	left	f
Learning	5	1261	blue	0.5	[0,1]	win	risk	norm	right	j
Learning	6	926	blue	0.43	[0,1]	win	Amb	norm	left	j
Learning	7	815	blue	0.43	[0,1]	win	Amb	norm	left	j
Learning	8	934	blue	0.48	[0,1]	win	Amb	norm	left	j
Learning	9	1117	blue	0.51	[0,1]	win	Amb	norm	left	j
Learning	10	1115	blue	0.6	[0,1]	win	Amb	norm	right	f
Learning	11	1167	blue	0.76	[0,1]	win	risk	norm	left	f
Learning	12	1272	blue	0.68	[0,1]	win	risk	norm	left	f
Learning	13	1424	blue	0.55	[0,1]	win	Amb	norm	right	f
Learning	14	1477	blue	0.57	[0,1]	win	risk	norm	left	f
Learning	15	1020	blue	0.53	[0,1]	win	Amb	norm	left	j
Learning	1	1452	green	0.5	[0,1]	lose	risk	norm	left	f
Learning	2	680	green	0.41	[0,1]	lose	Amb	norm	left	j
Learning	3	787	green	0.45	[0,1]	lose	Amb	norm	left	j
Learning	4	757	green	0.52	[0,1]	lose	Amb	norm	right	f
Learning	5	1333	green	0.61	[0,1]	lose	risk	norm	right	j
Learning	6	1085	green	0.54	[0,1]	lose	Amb	norm	right	f
Learning	7	1023	green	0.59	[0,1]	lose	Amb	norm	left	j
Learning	8	694	green	0.62	[0,1]	lose	risk	norm	left	f
