Blocktype	tnum	rt	color	winprob	Amb	RL_feedback	choice	dist	side	response
Learning	1	4433	red	0.5	[0,1]	win	Amb	norm	right	f
Learning	2	1446	red	0.58	[0,1]	win	Amb	norm	left	j
Learning	3	779	red	0.7	[0,1]	win	Amb	norm	right	f
Learning	4	1248	red	0.9	[0,1]	win	risk	norm	right	j
Learning	5	1139	red	0.79	[0,1]	win	risk	norm	left	f
Learning	6	893	red	0.63	[0,1]	win	Amb	norm	right	f
Learning	7	847	red	0.68	[0,1]	win	Amb	norm	left	j
Learning	8	1303	red	0.78	[0,1]	win	risk	norm	right	j
Learning	9	537	red	0.73	[0,1]	win	risk	norm	left	f
Learning	10	945	red	0.64	[0,1]	win	Amb	norm	left	j
Learning	11	1399	red	0.67	[0,1]	win	Amb	norm	right	f
Learning	12	582	red	0.72	[0,1]	win	risk	norm	right	j
Learning	13	739	red	0.68	[0,1]	win	Amb	norm	right	f
Learning	14	1616	red	0.71	[0,1]	win	risk	norm	left	f
Learning	15	860	red	0.68	[0,1]	win	Amb	norm	right	f
Learning	1	1706	green	0.5	[0,1]	win	Amb	norm	right	f
Learning	2	616	green	0.59	[0,1]	win	Amb	norm	right	f
Learning	3	1173	green	0.73	[0,1]	win	risk	norm	left	f
Learning	4	885	green	0.66	[0,1]	win	Amb	norm	right	f
Learning	5	2020	green	0.71	[0,1]	win	Amb	norm	left	j
Learning	6	1057	green	0.79	[0,1]	win	risk	norm	right	j
Learning	7	919	green	0.75	[0,1]	win	risk	norm	right	j
Learning	8	775	green	0.72	[0,1]	win	Amb	norm	right	f
Learning	9	843	green	0.73	[0,1]	win	Amb	norm	left	j
Learning	10	781	green	0.75	[0,1]	win	risk	norm	right	j
Learning	11	623	green	0.74	[0,1]	win	Amb	norm	right	f
Learning	12	588	green	0.75	[0,1]	win	risk	norm	right	j
Learning	13	439	green	0.75	[0,1]	win	risk	norm	right	j
Learning	14	917	green	0.72	[0,1]	win	Amb	norm	left	j
Learning	15	1260	green	0.7	[0,1]	win	risk	norm	left	f
Learning	1	1113	red	0.5	[0,1]	lose	risk	norm	right	j
Learning	2	489	red	0.4	[0,1]	lose	risk	norm	right	j
Learning	3	503	red	0.24	[0,1]	lose	risk	norm	left	f
