Blocktype	tnum	rt	color	winprob	select	dist	side	response
Risk	0	NA	green	0.5	none	narrow	[""left""]	
Risk	1	1453	green	0.2	right	narrow	[""right""]	j
Risk	2	1201	green	0.5	right	narrow	[""left""]	j
Risk	3	1173	green	0.3	left	narrow	[""right""]	f
Risk	4	1115	green	0.4	left	narrow	[""left""]	f
Risk	5	695	green	0.4	left	narrow	[""left""]	f
Risk	6	747	green	0.5	right	narrow	[""left""]	j
Risk	7	891	green	0.5	right	narrow	[""right""]	j
Risk	8	734	green	0.5	right	narrow	[""right""]	j
Risk	9	2051	green	0.5	right	narrow	[""left""]	j
Risk	10	1400	green	0.5	right	narrow	[""left""]	j
Risk	11	943	green	0.3	right	narrow	[""left""]	j
Risk	12	1161	green	0.7	right	narrow	[""right""]	j
Risk	13	827	green	0.5	right	narrow	[""right""]	j
Risk	14	561	green	0.6	right	narrow	[""right""]	j
Risk	15	531	green	0.5	right	narrow	[""right""]	j
Risk	16	1243	green	0.5	right	narrow	[""right""]	j
Risk	17	1015	green	0.6	left	narrow	[""left""]	f
Risk	18	795	green	0.6	left	narrow	[""left""]	f
Risk	19	1130	green	0.4	left	narrow	[""right""]	f
Risk	20	598	red	0.7	right	skew	[""right""]	j
Risk	21	158	red	0.7	right	skew	[""right""]	j
Risk	22	1472	red	0.4	right	skew	[""left""]	j
Risk	23	788	red	0.7	right	skew	[""left""]	j
Risk	24	701	red	0.7	right	skew	[""left""]	j
Risk	25	1330	red	0.6000000000000001	right	skew	[""right""]	j
Risk	26	845	red	0.8999999999999999	right	skew	[""right""]	j
Risk	27	781	red	0.8	right	skew	[""right""]	j
Risk	28	711	red	0.7	right	skew	[""right""]	j
Risk	29	1334	red	0.7	right	skew	[""right""]	j
Risk	30	1435	red	0.7	right	skew	[""left""]	j
Risk	31	1193	red	0.7	right	skew	[""left""]	j
Risk	32	965	red	0.5	right	skew	[""left""]	j
Risk	33	678	red	0.5	right	skew	[""left""]	j
Risk	34	467	red	0.6000000000000001	right	skew	[""right""]	j
Risk	35	527	red	0.8	right	skew	[""right""]	j
Risk	36	276	red	0.8	right	skew	[""left""]	j
Risk	37	485	red	0.6000000000000001	right	skew	[""left""]	j
Risk	38	577	red	0.7	right	skew	[""left""]	j
Risk	39	469	red	0.7	right	skew	[""right""]	j
Risk	40	858	blue	0	right	wide	[""left""]	j
Risk	41	653	blue	0.9	right	wide	[""right""]	j
Risk	42	732	blue	1	right	wide	[""right""]	j
Risk	43	744	blue	0.9	right	wide	[""left""]	j
Risk	44	717	blue	1	right	wide	[""left""]	j
Risk	45	NA	blue	0.9	none	wide	[""left""]	
Risk	46	194	blue	0	right	wide	[""right""]	j
Risk	47	537	blue	0.8	left	wide	[""left""]	f
Risk	48	1273	blue	0	right	wide	[""right""]	j
Risk	49	674	blue	0.2	right	wide	[""left""]	j
Risk	50	1210	blue	0.8	right	wide	[""right""]	j
Risk	51	320	blue	0.1	right	wide	[""left""]	j
Risk	52	267	blue	0	right	wide	[""left""]	j
Risk	53	225	blue	1	right	wide	[""left""]	j
Risk	54	NA	blue	0.1	none	wide	[""right""]	
Risk	55	919	blue	0.1	right	wide	[""left""]	j
Risk	56	2421	blue	0.7	right	wide	[""right""]	j
Risk	57	1607	blue	0.2	right	wide	[""left""]	j
Risk	58	1571	blue	0	right	wide	[""left""]	j
Risk	59	864	blue	0.3	right	wide	[""left""]	j
