Lot_color	dist	percent	value	order
R	wide	0	0	1
R	wide	10	0	1
R	wide	20	0	1
R	wide	30	0	1
R	wide	40	1	1
R	wide	50	0	1
R	wide	60	0	1
R	wide	70	1	1
R	wide	80	2	1
R	wide	90	3	1
R	wide	100	4	1
G	skew	0	0	3
G	skew	10	0	3
G	skew	20	0	3
G	skew	30	0	3
G	skew	40	2	3
G	skew	50	2	3
G	skew	60	2	3
G	skew	70	3	3
G	skew	80	1	3
G	skew	90	0	3
G	skew	100	0	3
B	narrow	0	0	2
B	narrow	10	0	2
B	narrow	20	0	2
B	narrow	30	1	2
B	narrow	40	3	2
B	narrow	50	4	2
B	narrow	60	2	2
B	narrow	70	0	2
B	narrow	80	0	2
B	narrow	90	0	2
B	narrow	100	0	2
