Blocktype	tnum	rt	color	winprob	select	dist	side	response
Risk	0	NA	red	0.7	none	narrow	[""right""]	
Risk	1	2718	red	0.2	right	narrow	[""right""]	j
Risk	2	2565	red	0.5	right	narrow	[""left""]	j
Risk	3	2017	red	0.4	right	narrow	[""left""]	j
Risk	4	1394	red	0.5	right	narrow	[""left""]	j
Risk	5	2559	red	0.6	right	narrow	[""left""]	j
Risk	6	NA	red	0.5	none	narrow	[""right""]	
Risk	7	3838	red	0.5	left	narrow	[""right""]	f
Risk	8	2748	red	0.5	left	narrow	[""right""]	f
Risk	9	1214	red	0.5	left	narrow	[""right""]	f
Risk	10	1793	red	0.5	right	narrow	[""left""]	j
Risk	11	1397	red	0.5	right	narrow	[""left""]	j
Risk	12	3333	red	0.6	right	narrow	[""left""]	j
Risk	13	2256	red	0.3	left	narrow	[""right""]	f
Risk	14	1979	red	0.4	right	narrow	[""left""]	j
Risk	15	1730	red	0.6	right	narrow	[""left""]	j
Risk	16	2349	red	0.4	right	narrow	[""left""]	j
Risk	17	1879	red	0.5	left	narrow	[""right""]	f
Risk	18	2013	red	0.3	right	narrow	[""left""]	j
Risk	19	1681	red	0.5	right	narrow	[""left""]	j
Risk	20	3073	blue	0.1	right	wide	[""left""]	j
Risk	21	2668	blue	0	right	wide	[""left""]	j
Risk	22	3542	blue	0.7	right	wide	[""right""]	j
Risk	23	2773	blue	0.8	right	wide	[""left""]	j
Risk	24	3343	blue	0.1	left	wide	[""right""]	f
Risk	25	2212	blue	1	left	wide	[""left""]	f
Risk	26	2938	blue	0	right	wide	[""left""]	j
Risk	27	2727	blue	0.8	left	wide	[""left""]	f
Risk	28	1825	blue	0	right	wide	[""left""]	j
Risk	29	2286	blue	0.2	left	wide	[""right""]	f
Risk	30	2022	blue	0.1	left	wide	[""right""]	f
Risk	31	2543	blue	0.9	right	wide	[""right""]	j
Risk	32	1810	blue	1	left	wide	[""left""]	f
Risk	33	1597	blue	0	left	wide	[""right""]	f
Risk	34	1748	blue	0.2	right	wide	[""left""]	j
Risk	35	1420	blue	0.9	left	wide	[""left""]	f
Risk	36	1528	blue	0	right	wide	[""left""]	j
Risk	37	1612	blue	0.3	right	wide	[""left""]	j
Risk	38	3145	blue	1	left	wide	[""left""]	f
Risk	39	1430	blue	0.9	right	wide	[""right""]	j
Risk	40	NA	green	0.8	none	skew	[""left""]	
Risk	41	38	green	0.6000000000000001	left	skew	[""left""]	f
Risk	42	2469	green	0.6000000000000001	right	skew	[""left""]	j
Risk	43	3668	green	0.5	left	skew	[""right""]	f
Risk	44	NA	green	0.7	none	skew	[""left""]	
Risk	45	2046	green	0.7	left	skew	[""left""]	f
Risk	46	1814	green	0.8	left	skew	[""left""]	f
Risk	47	2479	green	0.5	right	skew	[""left""]	j
Risk	48	1681	green	0.6000000000000001	right	skew	[""left""]	j
Risk	49	3295	green	0.7	right	skew	[""right""]	j
Risk	50	4056	green	0.7	left	skew	[""left""]	f
Risk	51	1445	green	0.8999999999999999	right	skew	[""right""]	j
Risk	52	2565	green	0.7	left	skew	[""left""]	f
Risk	53	1516	green	0.7	right	skew	[""right""]	j
Risk	54	3096	green	0.4	left	skew	[""right""]	f
Risk	55	1580	green	0.7	left	skew	[""left""]	f
Risk	56	1477	green	0.7	left	skew	[""left""]	f
Risk	57	1500	green	0.7	left	skew	[""right""]	f
Risk	58	1987	green	0.8	right	skew	[""right""]	j
Risk	59	2335	green	0.7	right	skew	[""right""]	j
