Lot_color	dist	percent	value	order
R	wide	0	0	1
R	wide	10	0	1
R	wide	20	0	1
R	wide	30	0	1
R	wide	40	2	1
R	wide	50	5	1
R	wide	60	2	1
R	wide	70	1	1
R	wide	80	0	1
R	wide	90	0	1
R	wide	100	0	1
G	narrow	0	0	2
G	narrow	10	0	2
G	narrow	20	0	2
G	narrow	30	0	2
G	narrow	40	0	2
G	narrow	50	5	2
G	narrow	60	3	2
G	narrow	70	1	2
G	narrow	80	1	2
G	narrow	90	0	2
G	narrow	100	0	2
B	skew	0	0	3
B	skew	10	0	3
B	skew	20	0	3
B	skew	30	0	3
B	skew	40	0	3
B	skew	50	3	3
B	skew	60	3	3
B	skew	70	2	3
B	skew	80	2	3
B	skew	90	0	3
B	skew	100	0	3
